Number of clusters,Accuracy,Load,Execution
1,100.0,0.41375572681427003,0.1698608636856079
2,78.6104688180691,0.23811881882803781,3.3996014254433766
4,66.93794488973293,0.2140181064605713,1.172325399186876
8,48.04365243051679,0.13939004474216038,1.6447765827178955
